text,predict
   30天甩掉小肚腩[给力] ，1分钟7个高强度减腹动作，充分燃烧腹部脂肪！连续坚持30天即可拥有马甲线或者6块腹肌！男人练腹肌，女人练马甲，胖子减肚皮！[来]别再躺着不动弹啦，赶紧马走，周末虐起来~全球健身中心的秒拍视频,1
   厉害了我的汪！[二哈]VS[doge] ，小时候看过《狮王争霸》，如今“狗王争霸”来了！居然还是三个机位混剪拍摄，大神在校园有木有！[笑cry][笑cry]秒拍视频 (转自网络),1
   这些精彩值得铭记[威武] ，首次太空种菜，首次将人类以外生物带上太空，最长航天员太空驻留时间…无论是发挥种族天赋，还是开展在轨试验，这次太空征程留下太多中国人的第一次。17日，神舟十一号飞船与天宫二号分离，航天员景海鹏、陈冬将返程。戳精彩记录↓↓，祝英雄平安回家[心],1
   这些精彩值得铭记[威武] ，首次太空种菜，首次将人类以外生物带上太空，最长航天员太空驻留时间…无论是发挥种族天赋，还是开展在轨试验，这次太空征程留下太多中国人的第一次。17日，神舟十一号飞船与天宫二号分离，航天员景海鹏、陈冬将返程。戳精彩记录↓↓，祝英雄平安回家[心],1
   这些精彩值得铭记[威武] ，首次太空种菜，首次将人类以外生物带上太空，最长航天员太空驻留时间…无论是发挥种族天赋，还是开展在轨试验，这次太空征程留下太多中国人的第一次。17日，神舟十一号飞船与天宫二号分离，航天员景海鹏、陈冬将返程。戳精彩记录↓↓，祝英雄平安回家[心],1
"  ""你再哭我真的不带你去了[doge]""……""不哭，我不哭……""讲真，奥斯卡欠小女孩一个影后！[偷笑]秒拍视频",1
  VR技术能否减少枪击致死事件？ ，在美国，每年都有大量公民死于警方枪击。根据华盛顿邮报的追踪，2015 年共有 990 人被警方杀死，而今年的数字也已经达到了 518 人。面对社会舆论的强大压力，警方不得不思考新的训练方法，包括对新科技的采用。目前，美国已经出现了上百个采用虚拟现实技术的训练中心?全文,1
  爱犬遭袋鼠锁喉 男子上前一拳将袋鼠打懵[二哈] ，自己的狗狗被一只袋鼠锁喉“绑架”。危急时刻，主人立马冲上去和袋鼠对峙，还给了它一拳！袋鼠傻了：我爸都没打过我！[哆啦A梦吃惊] 狗狗遭袋鼠锁喉 男子上前一拳将袋鼠打懵 （转）,1
  冬天有一种痛，南方人是不会懂的…[笑cry],1
  慢吞吞的树懒真的好蠢萌！一直在自己的节奏中荡漾着，开心着。[太开心]我的朋友是个呆B的秒拍视频,1
  普吉岛游客船倾覆中37人来自浙江海宁 海宁市已派工作组赴泰 ，截至今天凌晨，事故已造成1名中国游客溺亡，76名中国游客获救，另有数十人暂时无法核实下落。此次事...            ,1
  体态一定要优美，内心一定定要平和，表情一定要淡定…[二哈]当狗狗们做起瑜伽，简直就是――人生如此艰难，为何做瑜伽也不如狗？另喵星人表示不服！[喵喵]来，感受下这画风..... （网络）,1
  为了防止学生作弊，老师们也是操碎了心[二哈][笑cry][笑cry]网友：最后一张绝了！（网络）,1
  熊猫宝宝集体越狱，奶爸抓回去一只又逃出去两只，抓回去一只又逃出去一堆，太萌了， 心疼奶爸[笑cry] iPanda熊猫频道 秒拍视频,1
  一只为主人打节拍的金毛，看这怯怯的小眼神，就怕一个节奏没敲对被主人打，太魔性了…[doge][污]全球热门搜罗S的秒拍视频 (转自网络),1
  一组名为“你经历过绝望吗？”的图[哈哈]看到最后也是醉了！[笑cry][笑cry][偷笑]via.好奇博士,1
  赵丽颖 过生日上头条啦，颖宝宝已经入驻今日头条，欢迎来关注她的头条号，第一时间获取她的最新动态，视频详情请点这里：「明星上头条」我是赵丽颖，我在用今日头条,1
  这几秒，汪星人像是度过了一个世纪。。老虎：我先洗洗菜！[doge]via.冷笑话精选,1
  这是一只有故事的汪星人[doge]……人与狗之间的信任呢！[笑cry]秒拍视频,1
  周冬雨 上头条啦，周冬雨已经开通了她的头条号，欢迎来今日头条关注，第一时间获取她的最新动态，视频详情点这里：「明星上头条」我是周冬雨，我在用今日头条,1
  周海媚 上头条啦，周海媚已经开通了她的头条号，欢迎来今日头条关注，第一时间获取她的最新动态，视频详情点这里：「明星上头条」我是周海媚，我在用今日头条,1
" ""95后""求职简历：网游战绩强 开过淘宝店都是特长[思考] ，秋季招聘开始，首次登上求职舞台的""95后""大学生择业观有啥新特点？①简历更趋个性化，有""95后""把网游战绩、开淘宝店等写入简历，获得用人单位青睐;②城市选择面更广，杭州、南京等“新一线城市”吸引力迅速攀升;③创业精神受欢迎。你怎么看？",1
" ""八达岭老虎咬人案""当事女子上节目：妈妈会原谅我 ，29日，北京八达岭老虎袭人事件中，被咬伤的当事人赵菁在辽宁卫视一档节目中道歉，称主要责任在自己，即使妈妈能原谅，自己也原谅不了自己。她说：""我错了，因为我的疏忽大意造成了母亲永远离开了我…希望下辈子还做我的妈妈""。封面新闻的秒拍视频",1
" ""八达岭老虎咬人案""当事女子上节目：妈妈会原谅我 ，29日，北京八达岭老虎袭人事件中，被咬伤的当事人赵菁在辽宁卫视一档节目中道歉，称主要责任在自己，即使妈妈能原谅，自己也原谅不了自己。她说：""我错了，因为我的疏忽大意造成了母亲永远离开了我…希望下辈子还做我的妈妈""。封面新闻的秒拍视频",1
" ""百名红通人员""头号嫌犯杨秀珠从美国回国投案自首 ，今天,潜逃海外13年之久的“百名红通人员”头号嫌犯杨秀珠回国投案自首,这是第37名归案的""百名红通人员""。2014年以来，中央追逃办保持对她高压态势，同时劝其自首。她也由最初""死也要死在美国""，到最终主动撤销""避难""申请，作出回国投案自首的决定。",1
" ""孩子你怎么不开心？""其实他是学霸！[给劲] ，最近，这张合影照在网上火了…事情其实是这样的：孩子成绩是班上前几名，当天因为感冒已经睡下了，被叫起来合影时还没回过神来，并非不想写作业。或许媒体和网友的善意调侃打扰到了孩子的正常生活，希望此事归于平静，为暖心警察点赞，也祝孩子学业进步！",1
" ""网红书记""陈行甲离职：""敢说自己是不收钱的县委书记"" ，今天，湖北巴东县委书记陈行甲发文宣布离任，但并未透露新去向。陈行甲称，“我不敢说自己不负苍生，但我敢说自己不负本心，敢说自己是个不收钱的县委书记。”陈行甲因录制mv、高空跳伞宣传巴东旅游，被称为""网红书记""。(记者 马学玲 吕春荣)",1
" ""无性别厕所""引争议 该废还是立[思考] ，上海首座无性别公厕将于本月投入使用。厕所有专人管理，隔间挡板高达2.3米，下方缝隙也被封死，还能播放音乐避免如厕尴尬。虽能避免女性如厕排长队，但不少网友仍感觉不便。其实重庆、北京等地也有无性别厕所。来投票，你支持这种厕所吗？无性别厕所，你支持吗？",1
" ""限韩令""升级？听听外交部怎么说[围观] ，韩国《朝鲜日报》21日称，中国政府将正式禁播韩剧。进而韩国艺人广告代言遭""韩流禁制令""的传言也迅速传开。真的有""限韩令""吗？韩剧、韩国电影、韩明星参演的影视综艺真的禁播了？别闹，听听外交部发言人怎么说↓↓ 真的有“限韩令”吗？外交部最新回应",1
" ""蜘蛛人""父亲含泪感谢网友：钱够了！不要再捐了 ，截至11日17时，山西""蜘蛛人""救女父亲高新民的爱心账户里，已筹集善款4424笔，共计27万余元。高新民向广大爱心人士表示感谢，并表示将会拿出一部分善款捐给需要帮助的人。(记者 胡健)谢谢大家！感恩！扩散！ “蜘蛛人”父亲含泪感谢网友：钱够了！不要再捐了……",1
" ""蜘蛛人""父亲含泪感谢网友：钱够了！不要再捐了 ，截至11日17时，山西""蜘蛛人""救女父亲高新民的爱心账户里，已筹集善款4424笔，共计27万余元。高新民向广大爱心人士表示感谢，并表示将会拿出一部分善款捐给需要帮助的人。(记者 胡健)谢谢大家！感恩！扩散！ “蜘蛛人”父亲含泪感谢网友：钱够了！不要再捐了……",1
" ""坠井男童""家属否认医闹 120司机称""当时只是推搡"" ，14日，河北蠡县坠井男童聪聪的爷爷和父母，向参与救援工作人员上锦旗表示感谢，并对网传""殴打司机""的传言进行了否认。网传""被殴打""的司机表示：""当时只发生了推搡，并不像网上传的殴打那么严重。""详戳↓↓ “坠井男童”家属否认医闹 制11面锦旗致谢救援人员",1
 #阿根廷发生6.7级地震# ，中国地震台网正式测定：11月21日04时57分在阿根廷（南纬31.63度，西经68.71度）发生6.7级地震，震源深度100千米。中国地震台网速报,1
 #埃航坠机事故追踪# 事故现场短暂开放：没有一件完整的、能看出形状的东西 ，目前事故现场的挖掘救援行动已经结束，对黑匣子的解读工作正在进行。埃塞俄比亚空难最...            ,1
 #超级月亮来了!# 快晒出你那里的月亮吧！[来] ，月亮已经走过离地球最近点，此刻的山西太原，山西大学的同学们已经排着队，准备用天文望远镜来看今天的“超级月亮”了，戳↓感受，望远镜里的月亮！中国新闻网的秒拍视频 (记者 屈丽霞)你那里看到月亮了嘛？,1
 #感恩节#今天，让我们发自内心，说句感谢！！[心] ，感谢父母，即使我这么平凡也永远视如珍宝；感谢朋友，没有任何血缘却仍愿甘苦与共；感谢曾让我失败的人，磨炼让我急速成长；感谢爱过却离开的人，失去让我更懂得珍惜；感谢自己，遍体鳞伤，依旧努力……写下你最想感谢的人吧，他会感受到！[阳光],1
 #河北男童坠入深井# 107小时救援全记录 ，10日晚11时许，被困井底107小时后，救援人员在40多米深的井底发现聪聪。但不幸的是，孩子已无生命体征。[蜡烛]究竟为何救援时间长达100多个小时？又为何用挖井这种“最笨拙”的方式？戳↓107小时救援全记录 河北坠井男童遗体找到 107小时救援全记录,1
 #河北男童坠入深井# 107小时救援全记录 ，10日晚11时许，被困井底107小时后，救援人员在40多米深的井底发现聪聪。但不幸的是，孩子已无生命体征。[蜡烛]究竟为何救援时间长达100多个小时？又为何用挖井这种“最笨拙”的方式？戳↓107小时救援全记录 河北坠井男童遗体找到 107小时救援全记录,1
 #河北男童坠入深井# 救援后续：救援难度增大 ，截止目前，距河北省保定市蠡县中孟尝村6岁男童聪聪坠落40米深枯井的救援工作已进行了近80个小时。现场救援指挥部通报称，现场地质条件复杂，整体救援挖掘进度缓慢，男孩的位置未知，没有探测到。营救仍未停歇，爱心仍在接力。(记者 吕子豪 于俊亮),1
 #河北男童坠入深井# 救援后续：救援难度增大 ，截止目前，距河北省保定市蠡县中孟尝村6岁男童聪聪坠落40米深枯井的救援工作已进行了近80个小时。现场救援指挥部通报称，现场地质条件复杂，整体救援挖掘进度缓慢，男孩的位置未知，没有探测到。营救仍未停歇，爱心仍在接力。(记者 吕子豪 于俊亮),1
" #河北男童坠入深井#已超100小时 救援仍在继续 ，截至目前，男孩踪迹仍未找到。救援人员曾用多种生命探测仪器监测，只发现了孩子的玩具。因为降雨，塌方隐患不时出现，挖掘进度缓慢。针对""男孩到底有没有在井里""的问题，有关部门表示，目前还在继续发掘，只要有希望就继续营救。如果最终确认孩子不在井?全文",1
" #河北男童坠入深井#已超100小时 救援仍在继续 ，截至目前，男孩踪迹仍未找到。救援人员曾用多种生命探测仪器监测，只发现了孩子的玩具。因为降雨，塌方隐患不时出现，挖掘进度缓慢。针对""男孩到底有没有在井里""的问题，有关部门表示，目前还在继续发掘，只要有希望就继续营救。如果最终确认孩子不在井?全文",1
 #济南建筑倒塌事故# 已致3人死亡[蜡烛] ，昨日15时30分左右，济南高新区白谷堆村一个体业户厂房装修期间发生坍塌事故。截至今早7时，9名被困者中有7人被救出，其中死亡3人，4名伤者在医院治疗，生命体征平稳。涉事相关人员已被警方控制，救援工作仍在紧张进行中。,1
 #济南建筑倒塌事故# 已致3人死亡[蜡烛] ，昨日15时30分左右，济南高新区白谷堆村一个体业户厂房装修期间发生坍塌事故。截至今早7时，9名被困者中有7人被救出，其中死亡3人，4名伤者在医院治疗，生命体征平稳。涉事相关人员已被警方控制，救援工作仍在紧张进行中。,1
 #江西电厂工地坍塌# 事故死亡人数升至74人 其中68人确认身份 ，截至24日22时，确认事故现场74人死亡，2人受伤。目前，工作人员已核对确认了68名遇难者身份信息。确认身份的遇难者年龄最小的23岁，最大的53岁。当地政府正在全力做好遇难者家属接待、安抚工作。,1
 #江西电厂工地坍塌# 最新进展： 事故已致67人遇难 ，11月24日上午7时许，江西省宜春市丰城电厂三期在建冷却塔施工平台发生倒塌事故。记者从江西省委宣传部了解到，事故发生时现场共有70人，截止目前已有67人死亡，2人受伤，另有1人仍在搜救中。(记者 刘占昆 摄)直播地址戳→ 江西丰城一电厂施工平台倒塌数十人身亡 直击救援现场,1
 #尼日利亚教堂坍塌# 已造成160人遇难 ，据外媒，当地时间10日，尼日利亚南部一座教堂部分坍塌，目前遇难人数升至160人，现场情况惨烈。据尼日利亚国家电视台消息称，估计此次事件可能导致最多200人不幸遇难。报道称，由于该教堂在建造过程中，其屋顶坍塌导致手架连同铁皮一起落到正在祈祷的人群中。,1
 #纽约皇后区爆炸# 多家商铺遭焚毁 “回燃”致12人轻伤 ，当地时间13日凌晨，美国纽约皇后区阳边（Sunnyside）皇后大道（Queens Blvd）商业区发生大火，据悉，首先...            ,1
 #纽约火场爆炸# 纽约五级大火 多家商铺遭焚毁 “回燃”致12人轻伤 ，当地时间13日凌晨，美国纽约皇后区阳边（Sunnyside）皇后大道（Queens Blvd）商业区发生大火，200....            ,1
 #纽约火场爆炸# 消防员瞬间被烈焰吞噬 ，经查证：此视频为2015年天津港爆炸视频[作揖][作揖]12月13日，美国纽约一商业区发生火灾，200名消防员到场灭火。一家...            ,1
 #女研究僧为何多剩女# 报告给出了答案！ ，为什么越来越多的女研究生成了“剩女”？30日在北京发布的《人口与劳动绿皮书》分析称，2000~2005年，婚姻匹配的基本模式是丈夫的受教育水平高于或等于妻子。在接受了高等教育的女性中，这个偏好仍然存在，且没有发生改变的迹象。如果匹配模式不变，则接受了?全文,1
 #日本福岛发生地震# 最新消息汇总[话筒] ，11月22日5：59，日本福岛县南部盘城东面海域发生7.4级地震，地震发生后日本福岛县和宫城县部分地区浪高达3米，其他地区也有不同程度的海啸发生，但不会对中国沿岸造成影响。日本内阁官房长称日本东北地区的核电站在这次大地震中没有受损，未发生核泄漏问题。,1
 #台湾一游览车起火#案理赔确定 罹难者中22人各获赔143万 ，据台媒，台当局“交通部”16日称，已与“7.19火烧车”事件24名罹难大陆游客中的23人达成和解，每位罹难者可获新台币664万元(约人民币143.2万)的理赔金，其中22位罹难者家属已由保险公司完成汇款，另1位家属因欠缺理赔资料而致无法完成汇款。,1
 #泰国游船翻船#：50名中国游客失踪！ ，北京时间5日傍晚，两艘共载有127名中国游客的游船在泰国普吉海域发生倾覆。救援正在紧急进行！事故已造成1名中国游客溺亡...            ,1
 #天津市滨海新区爆炸#一审宣判 49名被告人名单如下[话筒] ，2016年11月7日至9日，天津港“8・12”事故相关的27件刑事案件，分别在天津市第二中级人民法院和天津市滨海新区人民法院等9家基层法院一审公开审理。9日，各法庭分别依法对系列案件作出一审判决，49人被送上刑事被告席，名单如下。天津日报,1
 #新疆昌吉6.2级地震#致3县市379间房屋受损 2人受伤 ，8日13时15分，新疆昌吉州呼图壁县附近发生6.2级地震，致三个县市(呼图壁县、昌吉市、玛纳斯县)379间房屋受损，2人受伤。新疆地震局发布消息称，截至8日16时，共记录到地震总数为142次。 (记者 王小军 孙亭文),1
 #新西兰强震# 记者亲历惊魂一刻 ，当地时间14日0点5分左右，记者身处基督城的Upper Riccarton地区，地震突然来袭，毫无任何征兆。随后房子像大海里的大船摇晃，长达三四分钟。房屋内的垂挂的百叶窗如风吹一样，所有半关的房门都开开合合…戳↓直击地震现场 新西兰发生强震全国均有震感 记者亲历惊魂一刻,1
 #新西兰强震#陆路受阻 中国领馆派直升机接同胞撤离 ，当地时间14日，新西兰发生7.5级地震，近百名中国游客被困凯伊库拉小镇。由于公路、铁路受损，在当地直升机全被调用情况下，中国驻克赖斯特彻奇总领馆通过其他渠道，租用两架直升机，将被困中国游客全部安全转移。无论你在哪，总有人会接你回家[心],1
 08月06日，刚刚发生。澄迈澄中美发店老板被老公打死，可怜三个娃 ，这样打老婆，何况都给他生了两女一男。[泪][泪][泪] ,1
 哎呀好气啊！可是还要保持围笑[拜拜],1
 不得了咯~ 小熊精肉肉越狱了！！！挤过去时小屁屁好萌[太开心],1
 不如跳舞，干啥都不如跳舞[嘻嘻]未来广场舞扛把子！网友：这孩子一定是奶奶带大的[笑cry] via.冷笑话精选 冷笑话精选的秒拍视频,1
 不如跳舞，燥起来c(ｏ`皿′ｏ)? 秒拍视频 （视频来自网络）,1
 额，我说，“和琪”你是有啥要紧事儿要办啊……自带快进功能[二哈][二哈][二哈]秒拍视频 via.iPanda熊猫频道,1
 二哈：你谁啊？为什么在这？脸那么大，离我远点！！（转）冷笑话精选的秒拍视频,1
 哈哈哈哈哈哈！！这俩活宝又来了！爆笑小品《低价航空》，戳↓秒拍视频 马住，慢慢看吧！[哈哈][哈哈][哈哈] via.东方卫视今夜百乐门,1
 哈哈哈竟然也有被二哈强势塞狗粮的一天！[二哈],1
 好耿直的答案，哈哈哈哈哈没毛病啊！[哈哈],1
 家里俩亲兄弟打起来了，亲狗一直在劝架：别打了！看在我的狗面上别打了！为这个家操碎心的狗狗。[摊手]网友：亲妈可能不在家，亲爸在录像……秒拍视频,1
 贾玲最新的小品《海岛约会 》，郑恺扮土豪追女神贾玲，全程太搞笑了，时间较长，建议先马再看！！！[笑cry]全球热门搜罗S的秒拍视频 （转）,1
 看着勺子从嘴边划过，宝宝从此开始怀疑人生[笑cry] 秒拍视频 （网络）,1
 可能是世界上最安全的指纹解锁。。来嘛，爪几借我用一下。英国报姐的秒拍视频 屏幕点亮的那一刻，好萌！[得意地笑]via.英国报姐,1
 孔繁森，不该被遗忘 ，他将一腔热血洒向高原，一生是清贫的，也是富有的；他领养了3名藏族孤儿；他几次爬到海拔近5000米的山顶采集水样，帮群众解决饮水问题；他担任阿里地委书记后，跑遍了98个乡，行程达8万多公里。1994年的今天，孔繁森不幸殉职，时年50岁。缅怀！致敬！人民日报,1
" 两弹一星元勋钱学森 ，①他少学有成，远赴重洋参物理之奥，而立之年便成为一流火箭专家；②新中国百业待兴之时，他归心似箭，然而美国人说他抵得上5个师，宁可枪毙也不让回国；③他被软禁5年，历尽艰险，万里归国，开创祖国航天事业，终成""两弹一星""元勋。今天钱老诞辰，致敬！",1
 路遥：再平凡的人，也要奋斗 ，他生在陕北农民家庭，《人生》《平凡的世界》是他经久不衰的作品。他忍受着孤独，艰苦创作，给窘境中的人带来希望与光亮。1992年的今天，43岁的路遥因病早逝。他曾说：“生活中真正的勇士向来默默无闻，喧哗不止的永远是自视高贵的一群。”[蜡烛],1
 论上语文课是怎么睡着的，有没有一种似曾相似的感觉[笑cry]网友：上数学课的我[doge] via.微博搞笑排行榜,1
 绿茵场上，他神采飞扬，他是张玉宁。对足球的热爱使他充满希望，激励着他奋勇向前。头条奥运倒计时84天，今日开屏明星KA张玉宁KA ，“可以很年轻，不能被看轻。”来今日头条，了解更多关于张玉宁的独家资讯。,1
 妈妈送给宝宝一个新玩具――复读仓鼠，宝宝开心喜悦的心情维持了五秒钟。。(转) 网友：虽然很心疼宝宝，但是我还是没忍住笑了[二哈][二哈] 我的朋友是个呆B的秒拍视频,1
 魔性的声音和节奏，你喜欢吗？[doge][喵喵][二哈]秒拍视频,1
 奶妈！开门时你倒是看着点儿啊！！[doge][doge][熊猫][熊猫],1
 男子欲跳长江大桥导致3小时大堵车 结果……[衰] ，13日下午，一名六旬男子爬上武汉长江二桥斜拉索，因劳务纠纷声称要跳桥。民警、消防赶到现场将他救下，事故导致交通拥堵近3个小时。一名民警称：跳桥的男子是熟人了，2012年和2013年，曾两次要跳桥都致堵。公安机关对该男子处以行政拘留10日处罚。,1
" 男子追小偷致其摔倒身亡被起诉？检察机关回应[思考] ，3月13日，蓝某在家中睡觉时发现小偷，起身追出门外。因下雨路面较滑，小偷挣脱时身体失去平衡摔倒，致颅脑损伤抢救无效死亡。10月27日,侦查机关以涉嫌过失致人死亡罪将蓝某移送县检察院。福建检察机关回应,目前案件在审查起诉阶段,尚未提起公诉。",1
 男子追砸运钞车被击毙 押运公司：使用橡胶子弹[衰] ，27日广东一男子用砖头追砸运钞车，追了几百米后被押运员开枪打死。押运公司称，当时车玻璃被严重砸裂，押运员多次警告无效才用装有橡胶子弹的防暴枪开枪。目击者称，事发前男子电动车疑被运钞车剐蹭，追车评理导致惨剧，但此说法未得到警方证实。,1
 男子追砸运钞车被击毙 押运公司：使用橡胶子弹[衰] ，27日广东一男子用砖头追砸运钞车，追了几百米后被押运员开枪打死。押运公司称，当时车玻璃被严重砸裂，押运员多次警告无效才用装有橡胶子弹的防暴枪开枪。目击者称，事发前男子电动车疑被运钞车剐蹭，追车评理导致惨剧，但此说法未得到警方证实。,1
 南京！南京！ ，1937年12月1日，日军下达攻占南京的命令，“南京保卫战”就此开始。近15万中国守军与20万日军展开激战，超过40%的将士殉国，成为二战中最惨烈的首都保卫战之一。13日，南京沦陷，屠杀开始。短短6周，30多万中国军民惨遭杀戮。南京！南京！血与泪的记忆不敢忘，不能忘！,1
 南京！南京！ ，1937年12月1日，日军下达攻占南京的命令，“南京保卫战”就此开始。近15万中国守军与20万日军展开激战，超过40%的将士殉国，成为二战中最惨烈的首都保卫战之一。13日，南京沦陷，屠杀开始。短短6周，30多万中国军民惨遭杀戮。南京！南京！血与泪的记忆不敢忘，不能忘！,1
 南京八旬老人大小便失禁 地铁民警为其清洗[赞] ，17日，一孤寡老人向南京地铁民警求助，他大小便失禁了，不好意思回养老院。几个警察蜀黍见状，买来干净脸盆、毛巾和内衣裤，埋头帮忙清洗了仨小时。有个蜀黍中间吐了两回，还是坚持了下来。南京地铁公安施Sir 老吾老以及人之老…有种温暖叫南京[心],1
 南京不会忘记，我们不会忘记! ，约翰・拉贝，与十多位外国友人保护了20多万南京难民，被称为“南京的辛德勒”；魏特琳，以柔弱之体对抗日军，使许多妇女免遭日军强暴；约翰・马吉，冒着生命危险拍摄105分钟真实史料……这些充满正义感和同情心的国际友人，让我们深感人性的高贵!今天#国家公祭日#，致敬!,1
 南京大屠杀幸存者群像实录，你愿为他们转发吗？ ，1937年12月侵华日军制造的南京大屠杀，使30多万中国平民和士兵惨遭杀害[怒]。劫后余生的幸存者也留下终身难以抚平的伤痛记忆。岁月流逝，在世者已越来越少，目前在册的南京大屠杀幸存者仅剩108位。第三个国家公祭日到来之际，为他们转发！via.新华社,1
 南京大屠杀幸存者群像实录，你愿为他们转发吗？ ，1937年12月侵华日军制造的南京大屠杀，使30多万中国平民和士兵惨遭杀害[怒]。劫后余生的幸存者也留下终身难以抚平的伤痛记忆。岁月流逝，在世者已越来越少，目前在册的南京大屠杀幸存者仅剩108位。第三个国家公祭日到来之际，为他们转发！via.新华社,1
 南京一饭店免费为乞讨者提供饭菜 已坚持8年[赞] ，老板娘捧出热腾腾的饭菜，递给两位乞讨老人，还对他们说：“不够再加，一定管饱”，这是南京某餐馆门口的一幕。老板娘叫庄红梅，每次有乞讨者路过店门口，她都会为他们送上饭菜，并叮嘱店员也要这样做。她说“只是件小事而已，应该的。”感恩！[心],1
 难以置信，这些肖像故事都是手机拍的！ ，11位图虫摄影师，10天创作时间，一台华为P9，让99张真实的面孔汇聚眼前，每一个都饱含深情。“你好，我的样子”―99个中国人肖像故事手机摄影展将在7月23日14:00于北京尤伦斯当代艺术中心开幕，一场手机摄影大展即将到来，诚邀你光临。华为手机 [酷],1
 脑电波密码才是未来？ ，密码、指纹和虹膜都是现有身份识别系统的中流砥柱，通过它们，我们才能登入设备或进入安保严密的区域。不过如果取消了触摸屏和键盘，与其搭配的身份验证方式也要跟着一起更换。这一特殊需求也让工程师们开始向更高级的识别系统进发，它们将新系统的密匙换成了人的大脑。当我们?全文,1
 脑洞满分！最强降雪后 市民这样堆雪人[笑cry] ，8日，沈阳迎入冬以来最大降雪，大雪从早上8点下到下午3点。随后街头便出现不少造型各异，甚至超出小新理解范围的雪人。戳图感受↓↓这脑洞，不服不行！但是图1的盆友，这样堆雪人，到了晚上真的没问题吗？[二哈]来晒晒你堆的雪人！（部分图自网友）,1
